event_name,catalog,observing_run,m1_solar,m2_solar,M_total_solar,energy_radiated,luminosity_distance_Mpc,snr,epsilon_max,final_state,mode_parity
GW170729,GWTC-2.1-confident,O2,54.7,30.2,84.4,4.1000000000000085,2490.0,10.7,0.3571068069554424,Klein_extrema,1
GW190719_215514,GWTC-2.1-confident,O3b,36.6,19.9,57.2,2.700000000000003,3730.0,7.9,0.29087432607114705,Klein_deformada,0
GW190720_000836,GWTC-2.1-confident,O3b,14.2,7.5,21.8,1.0,770.0,10.9,0.14697613460546777,Klein_relajada,-1
GW190514_065416,GWTC-2.1-confident,O3b,40.9,28.4,69.3,2.8999999999999915,3890.0,8.0,0.30239184861952245,Klein_extrema,0
GW190512_180714,GWTC-2.1-confident,O3b,23.2,12.5,35.8,1.5,1460.0,12.7,0.201715782852015,Klein_deformada,0
GW190517_055101,GWTC-2.1-confident,O3b,39.2,24.0,64.1,3.999999999999993,1790.0,10.8,0.3531287701093578,Klein_extrema,1
GW190519_153544,GWTC-2.1-confident,O3b,65.1,40.8,105.6,5.599999999999994,2600.0,15.9,0.40612520841891225,Klein_extrema,1
GW190521_074359,GWTC-2.1-confident,O3b,43.4,33.4,76.3,3.700000000000003,1080.0,25.9,0.34051876649594787,Klein_extrema,1
GW190513_205428,GWTC-2.1-confident,O3b,36.0,18.3,54.4,2.299999999999997,2210.0,12.5,0.265375184437979,Klein_deformada,0
GW190602_175927,GWTC-2.1-confident,O3b,71.8,44.8,115.6,5.099999999999994,2840.0,13.2,0.3917164948207538,Klein_extrema,1
GW190620_030421,GWTC-2.1-confident,O3b,58.0,35.0,92.7,4.700000000000003,2910.0,12.1,0.37890283148713316,Klein_extrema,1
GW190630_185205,GWTC-2.1-confident,O3b,35.1,24.0,59.4,2.799999999999997,870.0,16.4,0.29672944484873476,Klein_deformada,0
GW190701_203306,GWTC-2.1-confident,O3b,54.1,40.5,94.3,4.099999999999994,2090.0,11.2,0.3571068137199486,Klein_extrema,1
GW190706_222641,GWTC-2.1-confident,O3b,74.0,39.4,112.6,5.299999999999997,3630.0,13.4,0.39767957221252875,Klein_extrema,1
GW190707_093326,GWTC-2.1-confident,O3b,12.1,7.9,20.1,0.9000000000000021,850.0,13.1,0.13533876787793003,Klein_relajada,-1
GW190708_232457,GWTC-2.1-confident,O3b,19.8,11.6,31.4,1.2999999999999972,930.0,13.4,0.17893115596143797,Klein_deformada,-1
GW190527_092055,GWTC-2.1-confident,O3b,35.6,22.2,58.1,2.6000000000000014,2520.0,8.0,0.2848218503983686,Klein_deformada,0
GW190924_021846,GWTC-2.1-confident,O3b,8.8,5.1,13.9,0.5999999999999996,550.0,12.0,0.09695495236877742,Klein_relajada,-1
GW190915_235702,GWTC-2.1-confident,O3b,32.6,24.5,57.2,2.5,1750.0,13.1,0.2785618683954423,Klein_deformada,0
GW190728_064510,GWTC-2.1-confident,O3b,12.5,8.0,20.7,1.0,880.0,13.1,0.14697613460546777,Klein_relajada,-1
GW190727_060333,GWTC-2.1-confident,O3b,38.9,30.2,68.8,3.3999999999999915,3070.0,11.7,0.32678998698197237,Klein_extrema,1
GW190803_022701,GWTC-2.1-confident,O3b,37.7,27.6,65.0,2.8999999999999986,3190.0,9.3,0.30239184861952284,Klein_extrema,0
GW190731_140936,GWTC-2.1-confident,O3b,41.8,29.0,70.7,3.299999999999997,3330.0,8.8,0.32193898866460297,Klein_extrema,1
GW190828_065509,GWTC-2.1-confident,O3b,23.7,10.4,34.3,1.2999999999999972,1540.0,10.2,0.17893115596143797,Klein_deformada,-1
GW190828_063405,GWTC-2.1-confident,O3b,31.9,25.8,57.2,2.9000000000000057,2070.0,16.5,0.3023918486195231,Klein_extrema,0
GW190910_112807,GWTC-2.1-confident,O3b,43.8,34.2,78.0,3.5999999999999943,1520.0,14.5,0.3360739569637498,Klein_extrema,1
GW200115_042309,GWTC-3-confident,O3a,5.9,1.44,7.4,0.2000000000000001,290.0,11.3,0.03588695906682045,Klein_relajada,-1
GW230814_230901,O4_Discovery_Papers,O4a,33.7,28.2,61.9,3.095,289.0,42.13,0.31152476225620884,Klein_extrema,1
GW231123_135430,GWTC-4.0,O4a,137.0,101.0,236.0,14.0,2200.0,21.8,0.5241104288995349,Klein_extrema,1
GW230529_181500,GWTC-4.0,O4a,3.66,1.42,5.08,0.254,202.0,11.8,0.04490700657869781,Klein_relajada,-1
GW190929_012149,GWTC-2.1-confident,O3b,66.3,26.8,93.3,3.0,3130.0,9.7,0.30788013813439297,Klein_extrema,0
GW190930_133541,GWTC-2.1-confident,O3b,14.2,6.9,21.2,1.0,770.0,9.7,0.14697613460546777,Klein_relajada,-1
GW190403_051519,GWTC-2.1-confident,O3b,85.0,20.0,106.6,4.399999999999992,8280.0,7.6,0.36842598684347583,Klein_extrema,1
GW190925_232845,GWTC-2.1-confident,O3b,20.8,15.5,36.7,1.8000000000000045,930.0,9.7,0.22791318941673067,Klein_deformada,0
GW190917_114630,GWTC-2.1-confident,O3b,9.7,2.1,11.8,0.200000000000001,720.0,8.3,0.03588695038297418,Klein_relajada,-1
GW190916_200658,GWTC-2.1-confident,O3b,43.8,23.3,68.0,3.0,4940.0,8.1,0.30788013813439297,Klein_extrema,0
GW190805_211137,GWTC-2.1-confident,O3b,46.2,30.6,76.7,4.299999999999997,6130.0,8.1,0.3647514077785668,Klein_extrema,1
GW190725_174728,GWTC-2.1-confident,O3b,11.8,6.3,18.3,0.6999999999999993,1030.0,9.1,0.11037027933467074,Klein_relajada,-1
GW190426_190642,GWTC-2.1-confident,O3b,105.5,76.0,182.3,9.400000000000006,4580.0,8.7,0.4787368336354753,Klein_extrema,1
GW191105_143521,GWTC-3-confident,O3b,10.7,7.7,18.5,0.8999999999999986,1150.0,9.7,0.13533876473784778,Klein_relajada,-1
GW191109_010717,GWTC-3-confident,O3b,65.0,47.0,112.0,5.0,1290.0,17.3,0.38862799783970886,Klein_extrema,1
GW191127_050227,GWTC-3-confident,O3b,53.0,24.0,80.0,4.0,3400.0,9.2,0.3531287701087048,Klein_extrema,1
GW191129_134029,GWTC-3-confident,O3b,10.7,6.7,17.5,0.6999999999999993,790.0,13.1,0.11037027933467074,Klein_relajada,-1
GW191204_110529,GWTC-3-confident,O3b,27.3,19.2,47.1,2.1000000000000014,1900.0,8.9,0.25121773743129533,Klein_deformada,0
GW191204_171526,GWTC-3-confident,O3b,11.7,8.4,20.19,1.0100000000000016,640.0,17.4,0.14811100441029343,Klein_relajada,-1
GW191215_223052,GWTC-3-confident,O3b,24.9,18.1,43.3,1.8999999999999984,1930.0,11.2,0.23597823395769385,Klein_deformada,0
GW191216_213338,GWTC-3-confident,O3b,12.1,7.7,19.8,0.9299999999999996,340.0,18.6,0.13888612469071726,Klein_relajada,-1
