event_id,detection_category,system_type,total_mass,distance_mpc,snr_network,epsilon_max,klein_activated,snr_enhanced,klein_enhancement
SIM_004488,non_detection,BBH,88.64244546866894,2561.0485484765536,0.2927424491407036,0.17861960334210442,False,0.2927424491407036,1.0
SIM_004489,non_detection,BBH,45.53923071638411,2717.5038810680394,0.43391079685950223,0.10401002943780369,False,0.43391079685950223,1.0
SIM_004490,non_detection,BBH,72.32474741688355,2117.915052882666,0.5721964869565408,0.1372172854168465,False,0.5721964869565408,1.0
SIM_004491,non_detection,BBH,62.968466233880214,787.4356832345543,0.8551364033041957,0.13494944946427487,False,0.8551364033041957,1.0
SIM_004492,non_detection,BBH,27.44772111837273,1129.872032531111,0.881398761403829,0.06041343245329122,False,0.881398761403829,1.0
SIM_004493,non_detection,BBH,24.131021310737324,2734.2716814036426,0.16278279727352976,0.04247255918860269,False,0.16278279727352976,1.0
SIM_004494,non_detection,BBH,14.125104011347442,2543.09493744228,0.07873062646256049,0.031002433684135123,False,0.07873062646256049,1.0
SIM_004495,non_detection,BBH,94.97868364792407,2177.8837918962945,0.2972751203241035,0.19663054896501336,False,0.2972751203241035,1.0
SIM_004496,non_detection,BBH,49.76812653730124,1873.3769862183688,0.3480078155593589,0.11308528322959385,False,0.3480078155593589,1.0
SIM_004497,non_detection,BBH,59.124673641372794,2959.3258566350546,0.27639585920274395,0.13253750876148757,False,0.27639585920274395,1.0
SIM_004498,non_detection,BBH,52.46051626105739,1863.4495999253465,1.0273467497510325,0.11626008130593755,False,1.0273467497510325,1.0
SIM_004499,non_detection,BBH,90.42007456137745,2438.0681153628793,0.7649376952982225,0.1602656469340164,False,0.7649376952982225,1.0
SIM_004500,non_detection,BNS,2.491498054753383,2188.8932547062263,0.01563764702250895,0.005521220321801322,False,0.01563764702250895,1.0
SIM_004501,non_detection,BBH,75.5090665592721,2998.930786005152,0.3525517401200226,0.16047132110889883,False,0.3525517401200226,1.0
SIM_004502,non_detection,BNS,2.131059556187168,2441.5217084647047,0.023803092426000674,0.004677400254631554,False,0.023803092426000674,1.0
SIM_004503,non_detection,BBH,56.40385646865022,2521.1174033625557,0.16786142095170883,0.10742945380840375,False,0.16786142095170883,1.0
SIM_004504,non_detection,BBH,63.160790223459244,2223.8269502938942,0.6106951802151067,0.13333885074963134,False,0.6106951802151067,1.0
SIM_004505,non_detection,BBH,49.72091160931663,2945.879286528351,0.3497742028495189,0.10837823790248188,False,0.3497742028495189,1.0
SIM_004506,non_detection,BBH,85.46027658672085,2531.6270021807945,0.5563419469524704,0.1816008393097199,False,0.5563419469524704,1.0
SIM_004507,non_detection,BBH,15.754839549239254,2215.1808457527327,0.14842891400438227,0.035039492363935054,False,0.14842891400438227,1.0
SIM_004508,non_detection,BBH,13.979686060193375,2088.867985356933,0.2564231399971351,0.03214515024478707,False,0.2564231399971351,1.0
SIM_004509,non_detection,BBH,26.992785293238608,2988.949510604617,0.1620846425073175,0.05471503316050487,False,0.1620846425073175,1.0
SIM_004510,non_detection,BBH,36.9721049133373,1808.6903229593545,0.6237729742219339,0.085288129191184,False,0.6237729742219339,1.0
SIM_004511,non_detection,BBH,46.874093374655644,1798.9308695478992,0.4001505265068862,0.0785335675641973,False,0.4001505265068862,1.0
SIM_004512,non_detection,BBH,100.37029824169035,2685.8309048703686,0.6506684798235208,0.19775016325678835,False,0.6506684798235208,1.0
SIM_004513,non_detection,BBH,88.9836251276437,1561.5521822212627,1.9480142877572757,0.14884144364343427,False,1.9480142877572757,1.0
SIM_004514,non_detection,BBH,57.021264947305056,2945.4195794970756,0.44485728022313015,0.12583918771365518,False,0.44485728022313015,1.0
SIM_004515,non_detection,BBH,89.51783048302056,2094.6272311834277,1.128369485330927,0.18692672987378015,False,1.128369485330927,1.0
SIM_004516,non_detection,BBH,113.1201834530422,2786.299262944954,0.28312089802385226,0.2070197510932644,False,0.28312089802385226,1.0
SIM_004517,non_detection,BBH,41.045293856071474,2619.794782411021,0.41730492484496906,0.09419605560624184,False,0.41730492484496906,1.0
SIM_004518,non_detection,BBH,43.02765392669794,2522.263670368201,0.2809210542654147,0.07408004219625437,False,0.2809210542654147,1.0
SIM_004520,non_detection,BBH,46.61075815400106,2351.317216083134,0.26659245768255885,0.10633731073957339,False,0.26659245768255885,1.0
SIM_004521,non_detection,BBH,68.50349366329894,1609.9629836662955,1.0371061008765892,0.1483762468970262,False,1.0371061008765892,1.0
SIM_004522,non_detection,BBH,52.88502741766804,2335.961239105478,0.48325620661185587,0.09902579797771541,False,0.48325620661185587,1.0
SIM_004523,non_detection,BBH,77.5358095387318,890.6703845231334,1.584507565316607,0.1688629387121639,False,1.584507565316607,1.0
SIM_004524,non_detection,BBH,53.60450597140624,1556.7722697218496,0.9118323225090165,0.10488827759428067,False,0.9118323225090165,1.0
SIM_004525,non_detection,BBH,93.06924868541988,2965.1102689039444,0.8877228588020795,0.1562777383896218,False,0.8877228588020795,1.0
SIM_004526,non_detection,BBH,125.70845906218022,2759.7859551269216,0.4251752750702431,0.23263148068518508,False,0.4251752750702431,1.0
SIM_004527,non_detection,BBH,21.308314891315696,2798.362830195432,0.25035361628675096,0.045164594753230265,False,0.25035361628675096,1.0
SIM_004528,non_detection,BBH,61.92181853402673,2164.0526277750855,0.3403016593810567,0.1376723419213699,False,0.3403016593810567,1.0
SIM_004529,non_detection,BBH,65.75789767819434,2677.9319569260806,0.3631686595752839,0.13813555304847075,False,0.3631686595752839,1.0
SIM_004530,non_detection,BBH,69.55649566998835,2212.3429562787865,0.44983754010657495,0.15295723367803973,False,0.44983754010657495,1.0
SIM_004531,non_detection,BNS,2.782105834661397,2435.904065154499,0.03071396123153557,0.0060579493087856715,False,0.03071396123153557,1.0
SIM_004532,non_detection,BBH,38.44732028725021,2973.4343000787917,0.27153304249653165,0.0745173248467233,False,0.27153304249653165,1.0
SIM_004533,non_detection,BBH,104.27432940046843,2773.9214518648428,0.6870539646897603,0.21465192029090427,False,0.6870539646897603,1.0
SIM_004534,non_detection,BBH,109.96584066753378,2959.4773886496337,0.40380568888539103,0.22771102141766897,False,0.40380568888539103,1.0
SIM_004535,non_detection,BBH,33.02036350238438,2591.9757499361885,0.19881811706035288,0.07508258282334349,False,0.19881811706035288,1.0
SIM_004536,non_detection,BBH,16.937419283126935,2517.511097408889,0.1264470053005969,0.038624264373684554,False,0.1264470053005969,1.0
SIM_004537,non_detection,BBH,80.58089342792158,2853.3329589152318,0.6190520710328207,0.17267730536325016,False,0.6190520710328207,1.0
SIM_004538,non_detection,BBH,30.826420142845596,1350.0785732923282,0.42875403695961095,0.05601689106840219,False,0.42875403695961095,1.0
SIM_004539,non_detection,BBH,80.59782981683117,1292.860660766426,1.500834054312382,0.17446789949098407,False,1.500834054312382,1.0
SIM_004540,non_detection,BBH,78.87459652096598,1897.8039808097283,0.4873655150173619,0.14668798501528518,False,0.4873655150173619,1.0
SIM_004541,non_detection,BBH,94.2543973911688,2776.611677671482,0.35696875502821834,0.1991077009312511,False,0.35696875502821834,1.0
SIM_004542,non_detection,BBH,75.52748494162647,1513.5455129619952,0.5673407971439827,0.1608828590233466,False,0.5673407971439827,1.0
SIM_004543,non_detection,BBH,57.422775041633955,2544.672262023007,0.2249028053806599,0.10578427455094669,False,0.2249028053806599,1.0
SIM_004544,non_detection,BBH,69.10071447261942,2187.0137653631523,0.49646954555648104,0.15252570897808376,False,0.49646954555648104,1.0
SIM_004545,non_detection,BBH,48.40920744061634,1689.4917584437649,1.1653929410867585,0.10093408733251322,False,1.1653929410867585,1.0
SIM_004546,non_detection,BBH,81.96664525125098,746.2575345083904,1.2992906939687239,0.16167358860784645,False,1.2992906939687239,1.0
