ell,c_ell_tt_standard,c_ell_tt_klein,c_ell_eb_klein,klein_enhancement,parity_violation,klein_multipole,klein_window
260,4992.392859210795,4992.392859210795,0.0,0.0,0.0,1.4810502488509167e+23,0.0
261,4973.128891704947,4973.128891704947,0.0,0.0,0.0,1.4810502488509167e+23,0.0
262,4954.005631840588,4954.005631840588,0.0,0.0,0.0,1.4810502488509167e+23,0.0
263,4935.0214972095055,4935.0214972095055,0.0,0.0,0.0,1.4810502488509167e+23,0.0
264,4916.17492915041,4916.17492915041,0.0,0.0,0.0,1.4810502488509167e+23,0.0
265,4897.464392304405,4897.464392304405,0.0,0.0,0.0,1.4810502488509167e+23,0.0
266,4878.8883741804275,4878.8883741804275,0.0,0.0,0.0,1.4810502488509167e+23,0.0
267,4860.445384730383,4860.445384730383,0.0,0.0,0.0,1.4810502488509167e+23,0.0
268,4842.133955933738,4842.133955933738,0.0,0.0,0.0,1.4810502488509167e+23,0.0
269,4823.952641391304,4823.952641391304,0.0,0.0,0.0,1.4810502488509167e+23,0.0
270,4805.900015927995,4805.900015927995,0.0,0.0,0.0,1.4810502488509167e+23,0.0
271,4787.9746752043375,4787.9746752043375,0.0,0.0,0.0,1.4810502488509167e+23,0.0
272,4770.175235336463,4770.175235336463,0.0,0.0,0.0,1.4810502488509167e+23,0.0
273,4752.5003325244215,4752.5003325244215,0.0,0.0,0.0,1.4810502488509167e+23,0.0
274,4734.948622688579,4734.948622688579,0.0,0.0,0.0,1.4810502488509167e+23,0.0
275,4717.518781113877,4717.518781113877,0.0,0.0,0.0,1.4810502488509167e+23,0.0
276,4700.209502101802,4700.209502101802,0.0,0.0,0.0,1.4810502488509167e+23,0.0
277,4683.01949862982,4683.01949862982,0.0,0.0,0.0,1.4810502488509167e+23,0.0
278,4665.947502018127,4665.947502018127,0.0,0.0,0.0,1.4810502488509167e+23,0.0
279,4648.992261603512,4648.992261603512,0.0,0.0,0.0,1.4810502488509167e+23,0.0
280,4632.152544420168,4632.152544420168,0.0,0.0,0.0,1.4810502488509167e+23,0.0
281,4615.427134887271,4615.427134887271,0.0,0.0,0.0,1.4810502488509167e+23,0.0
282,4598.814834503162,4598.814834503162,0.0,0.0,0.0,1.4810502488509167e+23,0.0
283,4582.314461545972,4582.314461545972,0.0,0.0,0.0,1.4810502488509167e+23,0.0
284,4565.924850780522,4565.924850780522,0.0,0.0,0.0,1.4810502488509167e+23,0.0
285,4549.644853171372,4549.644853171372,0.0,0.0,0.0,1.4810502488509167e+23,0.0
