name,ra,dec,theta_arcmin,snr,redshift,mass_m500_1e14,distance_mpc,radius_mpc,radius_m,mass_kg,curvature_4d,curvature_ratio,phi5_amplitude,grav_modification
PSZ2 G003.91-42.03,316.4675077,-38.7531602,2.428906,9.33304,4.716204,0.321887,20212.30285714286,14.280802792324888,4.407055741711461e+23,6.402332429999999e+43,5.554123530929755e-55,6.240588236999724e-05,1.8721764686695237e-05,6.240588228898412e-11
PSZ2 G003.93-59.41,338.6080936,-37.7413184,2.428905,17.35802,7.194754,0.263986,30834.659999999996,21.785915263967905,6.723133450460496e+23,5.25068154e+43,1.2829904638304325e-55,1.4415623189105983e-05,4.324686956432224e-06,1.4415623188107413e-11
PSZ2 G004.04+42.23,233.2733365,-0.6754162,5.28262,4.75789,3.592052,0.465211,15394.508571428569,23.656000366493387,7.30024171309986e+23,9.253046789999999e+43,1.766021488462005e-55,1.9842938072606797e-05,5.952881421000739e-06,1.9842938070002466e-11
PSZ2 G004.13+56.81,221.8651319,8.4516901,3.396793,6.75999,7.122818,0.643275,30526.362857142856,30.16270324207939,9.3082102205057e+23,1.279473975e+44,1.1780286502716545e-55,1.3236276969344432e-05,3.970883090571431e-06,1.3236276968571438e-11
PSZ2 G004.45-19.55,289.2667301,-33.5415664,2.428597,9.06547,10.356931,0.677135,44386.84714285714,31.357098413036397,9.676800570263032e+23,1.346821515e+44,1.1036658852404997e-55,1.240074028360112e-05,3.720222084889639e-06,1.2400740282965464e-11
PSZ2 G005.91-28.26,299.8068699,-34.8917777,2.064811,5.98316,4.286492,0.387097,18370.68,11.033966336275261,3.405082011374546e+23,7.69935933e+43,1.4480875007208175e-54,0.00016270646075514802,4.8811937795805215e-05,1.627064593193507e-10
PSZ2 G006.05+29.43,244.4061203,-7.2624651,3.458767,5.09372,5.515037,0.647036,23635.87285714286,23.780395272050608,7.338629980954818e+23,1.2869546039999998e+44,2.4179159534634563e-55,2.7167594982735463e-05,8.150278492815458e-06,2.7167594976051528e-11
PSZ2 G006.16-69.49,350.5375195,-34.5752135,4.461128,4.5534,,,1000.0,1.2976895325484932,4.00466989744465e+22,6.574785924007979e+44,7.601589132874568e-51,0.8541111385252323,0.20796333792493724,6.932111264164574e-07
PSZ2 G006.38+62.03,218.3080283,12.4862713,2.428863,5.65158,4.813953,0.554516,20631.22714285714,14.576531546109118,4.498317635129274e+23,1.102932324e+44,8.997491695554745e-55,0.00010109541230960388,3.03286235895588e-05,1.01095411965196e-10
PSZ2 G006.49+50.56,227.72895,5.7681015,2.117182,23.17088,7.039484,0.199073,30169.217142857146,18.580113006509876,5.733822873808948e+23,3.9595619699999997e+43,1.5596863495248567e-55,1.752456572499839e-05,5.2573697169613185e-06,1.7524565723204397e-11
PSZ2 G006.68-35.55,308.7059326,-35.8250814,2.401851,11.85154,4.166683,0.232628,17857.212857142855,12.476301315337512,3.850186585913156e+23,4.62697092e+43,6.0196935879582075e-55,6.7637006606272e-05,2.029110195093926e-05,6.763700650313086e-11
PSZ2 G006.76+30.45,243.9548801,-6.1523633,2.29601,35.01054,16.116468,0.296833,69070.57714285715,46.131011502502666,1.4236030149672324e+24,5.90400837e+43,1.5195087752552452e-56,1.707313230623871e-06,5.121939691866636e-07,1.7073132306222119e-12
PSZ2 G006.82-34.71,307.710992,-35.5641276,2.428786,5.0221,3.152574,0.402348,13511.031428571428,9.545614080173088,2.945776505141415e+23,8.002701719999999e+43,2.3246640166918828e-54,0.00026119820412268347,7.835945945479334e-05,2.6119819818264447e-10
PSZ2 G006.84+50.69,227.7552391,6.0220111,7.178472,5.73192,1.844416,0.742635,7904.64,16.505938538667827,5.093732633032892e+23,1.477101015e+44,8.298979766645892e-55,9.324696367017856e-05,2.7974089019975368e-05,9.32469633999179e-11
PSZ2 G007.57-33.90,306.8860604,-34.7965297,3.390816,4.82758,6.273721,0.734868,26887.375714285714,26.520319805054925,8.18417069183995e+23,1.4616524519999999e+44,1.97989896666909e-55,2.2246055805270676e-05,6.673816740480273e-06,2.2246055801600913e-11
PSZ2 G007.67-43.18,318.179579,-36.0843971,2.428765,5.38838,,,1000.0,0.7064991001200013,2.180256222970324e+22,8.46379693487238e+44,6.064089133708668e-50,6.813583296301873,0.29999927565165707,9.999975855055236e-07
PSZ2 G007.76-36.83,310.439291,-35.1877584,3.519234,5.74397,2.638609,0.268698,11308.324285714287,11.57637311960144,3.572468744709005e+23,5.344403219999999e+43,8.703959241828769e-55,9.779729485200864e-05,2.9339188362066218e-05,9.779729454022073e-11
PSZ2 G008.31-64.74,344.6782281,-34.7882452,1.943902,10.9472,7.745729,0.41188,33195.98142857143,18.77093892992846,5.792711753775923e+23,8.192293199999999e+43,3.1295556387740306e-55,3.516354650307899e-05,1.0549063946575813e-05,3.516354648858604e-11
PSZ2 G008.47-56.34,334.4436414,-35.7155681,3.529226,10.0536,4.791958,0.304431,20536.96285714286,21.083456144128274,6.506354566077985e+23,6.055132589999999e+43,1.6324256976312497e-55,1.8341861771137638e-05,5.502558530724227e-06,1.8341861769080758e-11
PSZ2 G008.70-31.44,304.2413269,-33.32638,4.113153,5.34288,,,1000.0,1.1964677081380386,3.6922993473139874e+22,8.356819888457965e+44,1.2327450769320833e-50,1.3851068280135768,0.26462690470242756,8.820896823414253e-07
PSZ2 G048.47+34.86,255.535051,27.1466809,2.428366,5.74142,,,1000.0,0.7063830357247437,2.1798980482465593e+22,9.309082702207554e+44,6.67300248038622e-50,7.497755595939573,0.2999998156329303,9.99999385443101e-07
PSZ2 G008.80-35.18,308.6595074,-34.0615138,2.744902,6.28531,2.975521,0.286146,12752.232857142857,10.182143074501319,3.142209352791107e+23,5.691443939999999e+43,1.3621974308712443e-54,0.00015305589110912858,4.5916766974188226e-05,1.5305588991396074e-10
PSZ2 G008.94-81.22,3.5590615,-30.387616,2.428814,15.31582,9.835684,0.39472,42152.93142857143,29.781608949450785,9.190604521800513e+23,7.850980799999999e+43,7.509562307811242e-56,8.437710458214878e-06,2.5313131374043912e-06,8.437710458014637e-12
PSZ2 G009.04+31.09,244.5860131,-4.1892994,3.494064,5.0428,,,1000.0,1.0163820179233858,3.136554907311569e+22,7.662765374318046e+44,1.84395275621191e-50,2.0718570294515843,0.2906303448791373,9.68767816263791e-07
PSZ2 G009.45-56.93,335.1335605,-35.1375985,1.704934,7.29635,4.021076,0.349856,17233.18285714286,8.546714269664298,2.6375160236184023e+23,6.95863584e+43,2.8161885897080975e-54,0.0003164256842368649,9.492770210284066e-05,3.1642567367613556e-10
PSZ2 G010.76-16.91,288.9423815,-26.9947969,5.867899,4.63515,,,1000.0,1.7069026287413793,5.267501512295897e+22,6.752640069976839e+44,3.430698399495174e-51,0.3854717302803566,0.11023496871343762,3.674498957114587e-07
PSZ2 G011.06-63.84,343.3862166,-33.7388626,2.861637,5.36425,4.070501,0.466557,17445.004285714287,14.52150872583325,4.481337592792141e+23,9.27981873e+43,7.656661590875e-55,8.602990551544943e-05,2.5808971590962853e-05,8.60299053032095e-11
PSZ2 G011.36+49.42,230.4768984,7.673746,3.798602,5.36439,1.869686,0.201766,8012.939999999999,8.854046542506126,2.7323587630173906e+23,4.0131257399999996e+43,1.460806005861838e-54,0.000164135506276611,4.924065144079462e-05,1.6413550480264874e-10
PSZ2 G011.36-72.93,354.0538503,-32.1343132,2.428664,6.26367,,,1000.0,0.706469720410926,2.180165557188118e+22,1.0607699670374902e+45,7.601087602485125e-50,8.540547867960814,0.2999999770952471,9.999999236508237e-07
PSZ2 G011.72-37.96,312.4504689,-32.2998671,2.413243,5.37476,5.374032,0.589478,23031.565714285713,16.167789091210246,4.989379713547482e+23,1.1724717419999997e+44,7.00947771072803e-55,7.875817652503405e-05,2.3627452908657697e-05,7.875817636219233e-11
PSZ2 G011.92-63.53,342.9760369,-33.3941814,2.029754,5.72106,,,1000.0,0.5904315050920831,1.8220716247141686e+22,9.259609367438363e+44,1.1366304233244393e-49,12.771128351959993,0.29999999999515503,9.9999999998385e-07
PSZ2 G012.59-20.10,292.9782279,-26.5666362,1.965772,7.0115,6.974438,0.525899,29890.448571428573,17.091953185294724,5.274576752981952e+23,1.046013111e+44,5.292943089076405e-55,5.947127066377983e-05,1.7841381178099956e-05,5.947127059366652e-11
PSZ2 G012.81+49.68,230.7673885,8.6073949,3.708447,6.75556,1.898151,0.174993,8134.932857142856,8.775505981315957,2.7081211458341043e+23,3.48061077e+43,1.3012901429427382e-54,0.0001462123756115436,4.3863712370889406e-05,1.4621237456963136e-10
PSZ2 G013.06-75.46,356.8526134,-31.1508624,2.948289,5.28891,,,1000.0,0.8576225058388516,2.646623053018696e+22,8.230518152499628e+44,3.296657651792097e-50,3.7041097211147154,0.2996364708717618,9.98788236239206e-07
PSZ2 G013.74-45.53,321.5663381,-32.0254458,2.425529,5.18606,4.810649,0.564473,20617.06714285714,14.546532244586762,4.489059850679475e+23,1.122736797e+44,9.215835514625471e-55,0.00010354871364747719,3.106461398321475e-05,1.0354871327738249e-10
PSZ2 G014.09+38.38,240.856142,3.3223744,4.699918,5.20146,4.725769,0.54516,20253.295714285712,27.68930797807421,8.544920442033702e+23,1.08432324e+44,1.2904989057344146e-55,1.4499987704881062e-05,4.349996311159457e-06,1.4499987703864857e-11
PSZ2 G014.33+60.23,221.9786505,14.7693644,2.428058,4.99666,4.365911,0.531632,18711.04714285714,13.215489892880639,4.0783001809429653e+23,1.057416048e+44,1.1575273910223318e-54,0.00013005925741823953,3.9017777005471285e-05,1.3005925668490428e-10
PSZ2 G014.72-62.49,341.6334404,-32.2011155,2.428742,5.21311,,,1000.0,0.7064924096912021,2.1802355763070496e+22,8.054215495865855e+44,5.770798689194299e-50,6.48404347100483,0.2999985998271986,9.999953327573287e-07
PSZ2 G015.75-28.66,303.0771843,-26.7054291,3.602154,4.76452,3.260183,0.39348,13972.212857142857,14.640421702939081,4.518034137527001e+23,7.8263172e+43,6.3013248173130305e-55,7.080140244171944e-05,2.124042069702423e-05,7.08014023234141e-11
